	Q	sQ	Qc	sQc	Qi	sQi	T
0	1984.3353287366306	16.513893936491634	2253.580974995321	22.988769146160656	6.020886733832108e-05	4.3762863862397335e-06	50
1	1263.7747781057801	12.431347537251794	1416.6447002538523	17.70436330414082	8.538693399128836e-05	3.31190795613999e-06	60
2	2042.4931399912887	8.801183511859568	2358.814889073895	16.22314801197476	6.565602509210157e-05	2.1488655363879807e-06	70
3	1258.7025744940488	17.13494892705902	1428.274261822043	25.939763636182107	9.432321844383492e-05	4.73246021579949e-06	80
4	1296.8328570716028	14.25750943624176	1513.415337158302	22.28853062873188	0.0001103522483978512	4.084486290928973e-06	90
5	1280.988682659502	16.23090593908003	1483.4192109083444	24.821237971606354	0.00010652874644236592	4.857741530391709e-06	100
6	1269.0624102637482	18.247391642072298	1455.4806702101193	25.725744308049862	0.00010092506257476401	2.378491045338402e-06	110
7	1264.5774121544107	13.276854301072893	1455.4047114348587	22.38304903117115	0.00010368389586988957	2.6551004525013234e-06	120
8	2019.7754053692286	15.23595239193364	2314.5043466855714	21.469249959760276	6.304660480205137e-05	4.011004047486977e-06	130
9	1247.8730209013388	6.696070207569733	1434.0271018786186	9.94039651284319	0.0001040266964612	2.2246453484629154e-06	140
10	1286.5002048630897	10.468221523637112	1512.2253357606094	17.04214297876219	0.00011602552544860711	1.413760871750798e-06	150
11	1964.7840692690224	6.731925521028529	2268.077232309712	9.706426819205424	6.805968789536078e-05	2.2028332149522885e-06	160
12	1261.3906803821126	6.728775831854591	1540.418568487312	9.650505164899934	0.00014360159015718013	2.1701188209310974e-06	170
13	1246.9512404361935	6.824921020214219	1551.1755035055448	9.977832966279415	0.00015728359911142183	2.206246634885243e-06	180
14	1127.4359886088807	6.876646809246836	1426.5927208235903	9.96145184833986	0.000185997404208342	2.2121064291970956e-06	190
15	1205.9712450538918	6.60015182176096	1477.4129392260982	10.74283362073808	0.00015234833291724532	2.5336160114407654e-06	200
17	1047.2047370773846	6.602947528931395	1465.740469727104	12.791042473102772	0.0002726740852077151	3.102383729842118e-06	210
