F	I	Q
5341994378.513429	0.059722900390625	-0.06084442138671875
5342000000.0	0.0607757568359375	-0.061397552490234375
5342005621.486571	0.060024261474609375	-0.0614471435546875
5342011242.973142	0.060680389404296875	-0.061183929443359375
5342016864.459713	0.060558319091796875	-0.06140899658203125
5342022485.946283	0.060077667236328125	-0.0609130859375
5342028107.432855	0.060581207275390625	-0.061519622802734375
5342033728.919425	0.05937957763671875	-0.060802459716796875
5342039350.405996	0.06009674072265625	-0.0610198974609375
5342044971.892567	0.06060028076171875	-0.061763763427734375
5342050593.379138	0.05960845947265625	-0.061214447021484375
5342056214.865709	0.059856414794921875	-0.062164306640625
5342061836.35228	0.05902862548828125	-0.06281661987304688
5342067457.838851	0.059474945068359375	-0.062458038330078125
5342073079.325421	0.05877685546875	-0.062713623046875
5342078700.811993	0.059329986572265625	-0.062175750732421875
5342084322.298563	0.058925628662109375	-0.06177520751953125
5342089943.785134	0.05867767333984375	-0.06282424926757812
5342095565.271706	0.05844879150390625	-0.062480926513671875
5342101186.758276	0.05896759033203125	-0.06261825561523438
5342106808.244847	0.0582427978515625	-0.062496185302734375
5342112429.731418	0.058567047119140625	-0.0642852783203125
5342118051.217989	0.057407379150390625	-0.06325149536132812
5342123672.704559	0.05837249755859375	-0.06237030029296875
5342129294.191131	0.058376312255859375	-0.06422042846679688
5342134915.677701	0.05804443359375	-0.062255859375
5342140537.164272	0.058868408203125	-0.06329345703125
5342146158.650844	0.058681488037109375	-0.06377792358398438
5342151780.137414	0.0584259033203125	-0.06264495849609375
5342157401.623985	0.05767059326171875	-0.06296539306640625
5342163023.110556	0.05768585205078125	-0.0637969970703125
5342168644.597127	0.056995391845703125	-0.06530380249023438
5342174266.083697	0.05738067626953125	-0.063690185546875
5342179887.570269	0.05694580078125	-0.06366729736328125
5342185509.05684	0.05621337890625	-0.063690185546875
5342191130.54341	0.05669403076171875	-0.06454849243164062
5342196752.029982	0.057384490966796875	-0.0644989013671875
5342202373.516552	0.0563812255859375	-0.06369400024414062
5342207995.003123	0.05628204345703125	-0.06507110595703125
5342213616.489694	0.05689239501953125	-0.06356430053710938
5342219237.976265	0.055896759033203125	-0.06391525268554688
5342224859.462835	0.056987762451171875	-0.06413650512695312
5342230480.949407	0.05600738525390625	-0.06424331665039062
5342236102.435978	0.05536651611328125	-0.064453125
5342241723.922548	0.055538177490234375	-0.06431198120117188
5342247345.40912	0.05599212646484375	-0.06526947021484375
5342252966.89569	0.055572509765625	-0.06423187255859375
5342258588.382261	0.054775238037109375	-0.0647430419921875
5342264209.868832	0.055538177490234375	-0.0654296875
5342269831.355403	0.054828643798828125	-0.06491470336914062
5342275452.841973	0.0555572509765625	-0.06604385375976562
5342281074.328545	0.054019927978515625	-0.06510543823242188
5342286695.815116	0.0552215576171875	-0.06595611572265625
