T	I	Q
0	0.010919090964307543	-0.011745805510145146
1	0.011462004702480044	-0.012020601752738003
2	0.012276375309738796	-0.011539708328200504
3	0.012955017482454423	-0.008654347780975513
4	0.012140646875195671	-0.00995962993329158
5	0.010172584574320354	-0.012089300813386217
6	0.010783362529764418	-0.012501495177275501
7	0.011190547833393794	-0.01112751396431122
8	0.010986955181579106	-0.009547435569402296
9	0.01159773313702317	-0.010440523357829079
10	0.01186919000610942	-0.012432796116627287
11	0.010783362529764418	-0.012776291419868357
12	0.012072782657924108	-0.011058814903663006
13	0.012208511092467234	-0.008654347780975513
14	0.01159773313702317	-0.010097028054588009
15	0.011937054223380983	-0.012364097055979073
16	0.012140646875195671	-0.01181450457079336
17	0.01186919000610942	-0.011058814903663006
18	0.012004918440652546	-0.008997843084216584
19	0.011122683616122231	-0.009753532751346938
20	0.011462004702480044	-0.013119786723109428
21	0.012955017482454423	-0.01263889329857193
22	0.012276375309738796	-0.010577921479125507
23	0.012208511092467234	-0.00995962993329158
24	0.01186919000610942	-0.009547435569402296
25	0.01159773313702317	-0.01181450457079336
26	0.011190547833393794	-0.012364097055979073
27	0.012072782657924108	-0.010577921479125507
28	0.011801325788837858	-0.009135241205513012
29	0.010986955181579106	-0.010371824297180865
30	0.009968991922505666	-0.01147100926755229
31	0.011258412050665356	-0.012295397995330859
32	0.013497931220626924	-0.01147100926755229
33	0.012547832178825047	-0.009547435569402296
34	0.011326276267936919	-0.010509222418477293
35	0.009901127705234103	-0.011951902692089789
36	0.011529868919751607	-0.012089300813386217
37	0.01159773313702317	-0.010028328993939795
38	0.013362202786083799	-0.009341338387457654
39	0.01159773313702317	-0.010165727115236223
40	0.012412103744281922	-0.011883203631441575
41	0.010172584574320354	-0.01147100926755229
42	0.012072782657924108	-0.01112751396431122
43	0.012683560613368172	-0.008448250599030871
44	0.01261569639609661	-0.00961613463005051
45	0.011462004702480044	-0.012089300813386217
46	0.011258412050665356	-0.013257184844405856
47	0.012140646875195671	-0.010234426175884437
48	0.01186919000610942	-0.008997843084216584
49	0.011801325788837858	-0.00892914402356837
50	0.010240448791591916	-0.011951902692089789
51	0.01159773313702317	-0.012913689541164786
52	0.012276375309738796	-0.010577921479125507
53	0.011326276267936919	-0.008654347780975513
54	0.010308313008863479	-0.009684833690698724
55	0.010715498312492855	-0.011951902692089789
56	0.009493942401604727	-0.012295397995330859
57	0.011665597354294732	-0.01112751396431122
58	0.01363365965517005	-0.00961613463005051
59	0.012955017482454423	-0.00961613463005051
60	0.012072782657924108	-0.011264912085607648
61	0.012819289047911298	-0.012570194237923715
62	0.013294338568812236	-0.010028328993939795
63	0.012547832178825047	-0.009341338387457654
64	0.012208511092467234	-0.010097028054588009
65	0.010308313008863479	-0.012089300813386217
