T	1/Q	1/Q_err
100	0.0007167013988978189	2.9647076507961845e-06	-0.03131131311730757
100	0.0004033342785363238	1.5060048245689901e-06	-0.005438474558843257
100	0.00045094963507575275	1.7350028120692332e-06	-0.09360021992279097
100	0.00021259125809450682	1.0089051043600333e-06	0.08648021229812054
110	0.0007133650300461417	2.981087830077254e-06	-0.010767040475742666
110	0.00040923878767950384	1.5777235958625157e-06	0.00552380419980223
110	0.0004655067926230348	1.8018260385120243e-06	-0.03468506375945546
110	0.00020825031307522397	9.798896088997556e-07	0.07265954729268811
120	0.0007009448017985782	2.8916911692739256e-06	-0.029885245822378257
120	0.00041452221954718015	1.5534335053910865e-06	0.05865932150385456
120	0.0004488560181207705	1.664365460928601e-06	-0.12142138110133086
120	0.0002130275415716919	9.662076707214229e-07	0.13482533073479702
130	0.0007101730647437309	2.9292762515365386e-06	-0.0403905718002611
130	0.0004037227232567294	1.5254587067843972e-06	0.04003893099590615
130	0.0004565370521468832	1.7044715527250916e-06	-0.05392416996737222
130	0.0002073706493622522	9.56709300023776e-07	0.11850687112470545
140	0.0007291753716825847	3.037566068396211e-06	0.01761874781873167
140	0.0004114286039678089	1.570352351705496e-06	0.04520639391762512
140	0.0004537702162038586	1.7403727501858758e-06	-0.05092572324044911
140	0.000217796906042816	1.0262572759006022e-06	0.04841869835348449
150	0.0007107235168346731	2.7863940211068735e-06	-0.03840735421517048
150	0.0004057685611898144	1.5925201381473278e-06	0.06191239511997367
150	0.00045442039112927093	1.7626848683823465e-06	-0.053886080066101974
150	0.0002223114904466602	1.094031802019137e-06	0.017077438078328715
160	0.0007225797750019752	3.0033057960061024e-06	0.03089048831771168
160	0.00041662338545784183	1.6121188999655943e-06	0.09103631710906457
160	0.00046992213466348593	1.7873633991387473e-06	-0.08270443509935663
160	0.0002292662046818101	1.0705386073771352e-06	0.034489041177839956
170	0.0007353345426117377	3.088180955870019e-06	0.04054445660653962
170	0.0004192836725447451	1.6232989387284347e-06	0.11026990852716151
170	0.0004618277245838939	1.7910372118299587e-06	-0.1548869783549271
170	-17.231076457952355	700.9246559743115	0.08377539721033084
180	0.000724318090625019	3.110071645261122e-06	-0.022159645049530503
180	0.0004257424188872283	1.7047854432217774e-06	0.04805573951129836
180	0.00048207431612475943	1.884630868323533e-06	-0.11540079762830657
180	0.00025307712198285295	1.2017340543085258e-06	0.13984276013311725
190	0.0007567855847588804	3.3356410961234994e-06	0.006715113124412255
190	0.0004492465749168326	1.802120743760135e-06	0.06527621417545139
190	0.0005028334776578446	1.9578754232924142e-06	-0.07419907292273377
190	-12.658059287521308	157.38435621028825	-0.0010507348508088487
200	0.0007730397646461017	3.227707203372874e-06	-0.07021116810783765
200	0.00048221427997890916	1.915439212642341e-06	0.030873425967592013
200	-16.748833198939437	1212.1320553512949	-0.06860592787869313
200	-11.99921796790013	112.30736826689929	-0.003320785015880021
210	0.0007993131024581418	3.381531110087962e-06	-0.0184257729858079
210	0.0005194307815271893	2.160684780489098e-06	0.0010679338424369634
210	0.0005451059988945019	2.1902545379447833e-06	-0.1056672851522209
210	0.00034372831386493194	1.768897212254113e-06	0.12526292703844827
50	0.0004115445584859455	1.5935314180020235e-06	-0.02571483413541373
50	0.00024789597696132714	9.143191383793173e-07	0.03523505504555346
50	0.0002623289019500995	9.651876091241887e-07	-0.11851544329643467
50	0.00020576042536391202	9.488055737868206e-07	0.09859531956399413
60	0.000703990745777999	2.8673654615851247e-06	-0.021745190867244614
60	0.00041011989319663733	1.5483333677352113e-06	-0.005014728710777421
60	0.00045870644273072764	1.7139281536627342e-06	-0.14017822592254986
60	0.00020314064502165462	9.19668725819473e-07	0.15454137272026477
70	0.0007138209448933126	2.860760258275875e-06	-0.0031976457103842907
70	0.0003984298781913651	1.4861154935916333e-06	0.05497593017874341
70	0.0004477644272715269	1.7073150948101502e-06	-0.07631108193214527
70	0.00020923841424181874	9.499249553839835e-07	0.061910652225900635
80	0.0007163849499463212	2.9206122834431115e-06	-0.02289369216036619
80	0.00040417413158120045	1.5455617319308787e-06	0.0015394750317242844
80	0.00045510386005293306	1.6964262151600152e-06	-0.11259243313932252
80	0.00020763392424856343	9.723718867443117e-07	0.05161202838932375
90	0.000705718771500948	2.9265289261490926e-06	-0.043839404334190035
90	0.00040264287995366846	1.5503211628236935e-06	0.015294779722584822
90	0.0004443771072546587	1.7144483255698977e-06	-0.09704380163641395
90	0.00021313452386648572	9.822595083353746e-07	0.031019554343676623
