T	1/Q	1/Q_err
100	0.0007432633697229429	3.0183410423028536e-06
100	0.00041876602797826564	1.5674536378341935e-06
100	0.00045125727483325684	1.651887621988826e-06
100	0.0002437119281883939	1.2037234521321106e-06
110	0.0007394166641394655	2.993887505586205e-06
110	0.00041487048505225933	1.5397059465659322e-06
110	0.00045305316659001275	1.6755975487095225e-06
110	-5.689841204566442	41.312951797147676
120	0.0007367718883557706	3.0214414310064036e-06
120	0.00042549466628525164	1.5995025431917002e-06
120	0.0004593167133486962	1.7440953612580985e-06
120	-0.00024389443163730005	1.215254632379428e-06
130	0.00042209151068201944	1.6609212333056447e-06
130	-13.93422825409583	454.25801871621877
130	0.0002638254576535634	9.641539397798682e-07
130	0.0002583491952228152	1.3059799374280208e-06
140	0.0007447905096605665	3.047280998457031e-06
140	0.0004320320225485624	1.6225745628496365e-06
140	0.00045749469492859706	1.6931525558075986e-06
140	0.0002674193397067046	1.3991972302045769e-06
150	0.0007410197732717013	3.0234056480832624e-06
150	0.00044326321636362277	1.6431321768326118e-06
150	0.0004661210365406171	1.7619174165942805e-06
150	-0.0002661185386843065	1.3167275410593237e-06
160	0.0004298864859194785	1.7476730085854484e-06
160	0.00026842607489677313	9.85366575081465e-07
160	0.00027047192325180833	9.936432451631944e-07
160	0.00028178796674578263	1.2993691350979381e-06
170	0.0007687480114366237	3.1548853118626796e-06
170	0.00045864422632264766	1.7776502968028912e-06
170	0.00048413264013626314	1.8758113862746603e-06
170	-12.720380267637525	105.62172102483545
180	0.0007731018240388401	3.216691634167004e-06
180	0.00047802905940169964	1.8348305210137362e-06
180	0.0004971379836646088	1.9235318537852306e-06
180	-0.00030280116301945157	1.4333289128752901e-06
190	0.0007982600846502129	3.3607655503829167e-06
190	0.0005107776038933329	1.9562455542764045e-06
190	0.0005131418968406178	2.114442154911784e-06
190	0.000323599290327864	1.676955329044476e-06
200	0.000767582710429249	3.16028332852129e-06
200	0.0004737292164252656	1.804611154960581e-06
200	0.00048022665134924694	1.8423167465976663e-06
200	-15.1754990995874	286.1187216597963
210	0.000872925675702785	3.7323889727723e-06
210	0.000575291566935642	2.2446045835031014e-06
210	0.0005869534806110831	2.3759962107046325e-06
210	0.000403489956747686	2.1236670358222014e-06
50	0.00042816145399145	1.6929061064675256e-06
50	-10.087791033194515	204.3924833005891
50	0.0002620595944110361	9.673985220308879e-07
50	0.000231328430797319	1.0610173982472139e-06
60	0.0007299983957861995	2.86063772654495e-06
60	0.00041790581167809035	1.548336698221525e-06
60	0.0004589406158901983	1.6854278876197332e-06
60	-5.381422764098917	51.825189444998344
70	0.00042725341283868343	1.66334575446292e-06
70	-5.222760108363853	34.165169050974335
70	0.000261468750347381	9.355207051845864e-07
70	0.00023639998778686542	1.024785553662938e-06
80	0.0007332288748613988	2.9627158091432414e-06
80	0.0004185231800478465	1.5575094624744942e-06
80	0.00045772421964609326	1.6821638220753036e-06
80	0.0002382638222256204	1.0441025236666285e-06
90	0.0007330530450518829	2.9848708677068845e-06
90	0.00042077196438794175	1.5558138021018429e-06
90	0.00044905924850702103	1.6385745608059892e-06
90	0.00024284803140084578	1.0398754811135307e-06
