T	1/Q	1/Q_err	T_err
100	0.0007596538095599837	2.8956786913141607e-06	1
100	0.00041938151885190445	1.4999014145096615e-06	1
100	0.00047225891633453253	1.5627896140562022e-06	1
100	0.00021687297740810113	1.011146791593837e-06	1
110	0.0007551124850327519	2.9222218405943564e-06	1
110	0.0004276864562922409	1.574314509828631e-06	1
110	0.00048802921105795547	1.8100695285174207e-06	1
110	-3.707722618998878	19.277125462038914	1
120	0.0007492483897513093	2.8411194673642604e-06	1
120	0.0004318272793766348	1.5443099899574408e-06	1
120	0.00046969572207218146	1.6614181519918616e-06	1
120	-3.7198969760662717	19.083403701767256	1
130	0.0007495224063993748	2.7978557423467733e-06	1
130	0.0004233708031274855	1.5237249227646877e-06	1
130	0.00047739729082346336	1.7057439981519465e-06	1
130	-4.032970342379745	22.573677311863733	1
140	0.000768028943935398	2.9687748135504912e-06	1
140	0.00042862145060218015	1.5640824105660746e-06	1
140	0.00047596285629007554	1.7434968365616664e-06	1
140	-3.931504604420499	22.24264116303738	1
150	0.0007496919879159705	2.8373212201356975e-06	1
150	0.0004236156609345766	1.587654724983047e-06	1
150	0.0004772966470056318	1.7683782189060697e-06	1
150	-3.889903803478684	21.89654288330609	1
160	0.0007641342187176207	2.9616548753331523e-06	1
160	0.00043520330007507135	1.6101573437249266e-06	1
160	0.0004901268736907609	1.788825170800449e-06	1
160	-4.255156779716613	24.68948132252449	1
170	0.0007758394958249753	3.032216222496567e-06	1
170	0.00043645594608021724	1.3572545228236621e-06	1
170	0.00048147717677622274	1.6965742192502169e-06	1
170	-3.9795505449656514	22.409225692434237	1
180	0.00076997694662034	3.0608554796945642e-06	1
180	0.00044541079411426385	1.7070878573929968e-06	1
180	0.000502428981756693	1.8890492050011258e-06	1
180	-4.097579071522567	22.491040168807817	1
190	0.000796796588411798	3.2314413703918904e-06	1
190	0.0004671460373439115	1.8092998948921788e-06	1
190	0.0005194362140811474	1.956769146256074e-06	1
190	-5.040692755595348	34.8818751190964	1
200	0.0008034917599766499	3.179694222343825e-06	1
200	0.0004973642730735469	1.6834931625662325e-06	1
200	0.0005292355651002923	2.0099186896983075e-06	1
200	-5.0791907635733455	31.07580965950422	1
210	0.0008302132275906815	3.345210034351214e-06	1
210	0.0005360889211789158	2.168679257358514e-06	1
210	0.0005619726234203313	2.1956300502175788e-06	1
210	-5.234636176129457	31.33514293121449	1
50	0.0004372538420089116	1.5728878218877343e-06	1
50	0.00025967380640223506	9.128859278004168e-07	1
50	0.00027571655064886463	9.690380546851609e-07	1
50	0.00020982695017387706	9.511519547133466e-07	1
60	0.0007512606997788778	2.8138716585639484e-06	1
60	0.0004283914187117938	1.5486809816336074e-06	1
60	0.0004788436606514632	1.7105649382033134e-06	1
60	-3.910760336385896	20.890572371401323	1
70	0.0007506343650668464	2.7897079295288933e-06	1
70	0.00041638411191356306	1.4801570085821703e-06	1
70	0.0004716195883727912	1.7087683123833462e-06	1
70	0.00021306307369768797	9.514888106025091e-07	1
80	0.0007564074399582752	2.854034607549356e-06	1
80	0.000422540272796689	1.5419512189096394e-06	1
80	0.0004761467894730357	1.6928915960250046e-06	1
80	-4.186123014458788	24.574425089685466	1
90	0.0007503534892944983	2.8570403016870686e-06	1
90	0.0004229821313902305	1.5498964197080128e-06	1
90	0.0004680788749022608	1.7154236213267366e-06	1
90	-3.7478030058271252	19.332564517002435	1
