T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	4876.274586060491	83.19629266330503	10724.183303568043	145.33854431469445	0.00011182739374225955	145.33854431469445
60	4554.9863890449415	67.73582615134183	7798.635605798148	87.78666048894638	9.131206611207729e-05	87.78666048894638
70	4898.402496332846	82.28994653165682	10803.73543203269	145.52410862444503	0.00011158761092529997	145.52410862444503
80	4750.810820320501	69.6473814384226	7850.156033012036	86.60481601869151	8.310438228447119e-05	86.60481601869151
90	4601.787833939172	68.69942599394426	7935.127229015449	89.64244788923315	9.128492204019015e-05	89.64244788923315
100	4658.903514750391	68.93778338197899	7848.645038347586	87.65787456240923	8.723225260969837e-05	87.65787456240923
110	4624.187314248757	70.2296018162765	7977.880809811421	91.2305117701253	9.090764492767202e-05	91.2305117701253
120	4589.819736558509	69.53809918242132	7860.613488662896	89.62119880581486	9.065694670973309e-05	89.62119880581486
130	5605.305540277132	96.10344430004943	11591.582152209843	153.47542644607165	9.213290663284803e-05	153.47542644607165
140	3271.385100384697	50.32767447914375	7117.892660248175	89.23192610072147	0.00016518989782383204	89.23192610072147
150	3595.489903434348	59.267223113419504	7531.393399536888	97.94232734246816	0.0001453486607575525	97.94232734246816
160	6579.660998703238	131.51381464906308	12797.9630367067	185.39638032882613	7.384607945811336e-05	185.39638032882613
170	3725.2602247487876	65.66099567572246	8135.262366877695	110.45179882057846	0.00014551595748512936	110.45179882057846
180	3502.3992219960887	63.818380994738845	8071.877339656846	113.8987724743397	0.00016163164777617403	113.8987724743397
190	2452.004487650411	45.360595432791115	7266.631634493543	122.49749458451561	0.0002702142538331952	122.49749458451561
200	3719.7014207006664	65.36313717798953	8117.098631225686	110.008268371354	0.00014564205321769764	110.008268371354
210	2504.108246776364	52.20838420714517	7803.211027373937	134.0268490984422	0.00027119138722021027	134.0268490984422
