	Q	sQ	Qc	sQc	Qi	sQi	T
0	3475.8440033437973	42.278210322648846	4843.540230643249	81.10453227723562	8.123935386821292e-05	5.6640482170769955e-06	50
1	1286.348156948317	40.65018193629995	1520.3149596410385	81.6596230960395	0.00011963607123802628	5.636237211566622e-06	60
2	1272.9384569970186	34.946417238115785	1471.6912936581725	73.01341040563317	0.0001060936052742727	4.823237303074873e-06	70
3	1300.4577593862587	34.82104725364092	1547.3993434757906	71.97442472922168	0.00012271441212444352	4.965756292957476e-06	80
4	1277.7609030348847	43.682046041592685	1527.5792796579003	97.9200470948942	0.00012798852307353804	6.6043955665621055e-06	90
5	1291.8827056023936	40.82277627149762	1545.7215228153095	103.41479190226886	0.0001271170181762298	7.700643395228712e-06	100
6	1292.038878522197	74.16813042722676	1551.2791452418546	155.55687579922613	0.00012934121116605466	3.879743889422672e-06	110
7	2169.8801598569225	12.457174533743455	3022.7484095606383	19.553467395689665	0.00013003018987200774	4.051710117458543e-06	120
8	1286.3523360364982	12.372445450911982	1531.5654702080935	19.589430401767814	0.00012446528052988283	4.065485227397605e-06	130
9	2124.898149831801	12.312569100025257	3003.9426517780353	19.228279070300005	0.00013771495554951556	4.063944749138141e-06	140
10	2116.6120621070327	12.168761940802824	3057.6338177403713	20.58906701514443	0.00014540285172523961	4.450379879838625e-06	150
11	2070.0588484045675	11.674526112500303	2998.52352767991	20.639026935175576	0.00014958058733345714	4.9405092760241105e-06	160
12	2013.273745374034	12.184614818270802	3036.6461327292795	18.855193773739725	0.00016739276344019465	4.070152076528793e-06	180
13	1216.4950560456134	12.093885761282536	1541.080167055011	18.205147829427204	0.000173138246554806	4.039192019987107e-06	190
14	1821.2262748379314	12.399798224705137	2899.7773292508737	19.383578185961106	0.00020422652622395737	4.011268442853907e-06	200
15	1131.1963208248565	12.474270492560095	1484.66360522441	19.483919935790624	0.00021046659597180435	4.112626051120691e-06	210
