T	I	Q
0	0.0008244714240134663	0.0014482257632096299
1	0.0008161816463062159	0.0014439123633061535
2	0.0008160474044969332	0.0014334381365100851
3	0.0008113226463846539	0.0014378637504973448
4	0.0008161207531143762	0.0014390050498372877
5	0.0008122208209642878	0.001440669102591928
6	0.0008143479308701378	0.0014400177135202104
7	0.0008126055552218194	0.0014390132606239058
8	0.000815257176939197	0.00144086889839964
9	0.0008189522865349163	0.0014421265172166748
10	0.0008150288274697987	0.0014421169379656203
11	0.0008138192672500763	0.001444223004733212
12	0.0008185343378091084	0.001446489181839861
13	0.0008155311963024751	0.001444691019570455
14	0.0008100549608454486	0.0014438302554399707
15	0.0008118097919193705	0.0014424303163215518
16	0.000811330950001723	0.0014383043960458598
17	0.0008085616937092009	0.0014369140361784956
18	0.0008130553344797253	0.0014424002101039513
19	0.0008114015307468098	0.0014415120766847393
20	0.0008100854074413682	0.0014389982075151057
21	0.0008126193945836011	0.0014408428975753486
22	0.000816672943649467	0.0014384111362718977
23	0.0008123855093694902	0.0014402558263321406
24	0.0008149388716182175	0.001439865813967772
25	0.0008126872074563316	0.001438394714698661
26	0.0008107649201048507	0.001440153191499412
27	0.0008086295065819313	0.0014419198790867813
28	0.000810381569783497	0.001443727620607242
29	0.0008095456723318812	0.001439196634858381
30	0.0008102459440380361	0.0014379075413593091
31	0.0008104715256350783	0.0014371343589527534
32	0.0008139908753361697	0.0014397796007082795
33	0.0008133542646942104	0.0014411480651446618
34	0.0008098183077589811	0.0014411877506133168
35	0.0008144752529985298	0.0014422797852335497
36	0.0008134940422482058	0.001438569878146518
37	0.0008160972261993475	0.0014405965739767998
38	0.0008132546212893822	0.001437070041124243
39	0.0008103455874428645	0.0014361545384163038
40	0.000810302685421341	0.0014411549074668437
41	0.0008113849235126718	0.0014347395461890846
42	0.0008137902045903346	0.0014387327254144473
43	0.0008155478035366131	0.001440246247081086
44	0.0008132975233109054	0.001441960933019873
45	0.000814742352680917	0.0014415408144379032
46	0.0008159436092835703	0.0014415011289692482
47	0.0008127314934140332	0.0014428435925813391
48	0.0008189024648325021	0.0014450563995749687
49	0.0008163491025837747	0.0014436701451009137
50	0.0008121820707512989	0.001439497697034385
51	0.000812231892453713	0.001439570225649513
52	0.0008117876489405198	0.0014424508432880974
53	0.0008115897460670412	0.0014423098914511502
54	0.0008106721963809133	0.001441889772869181
55	0.0008095512080765939	0.0014388914672890678
