T	I	Q
0	0.00821790793741966	0.001381847481422301
1	0.008170855950781698	0.0011006453107358539
2	0.008210667056427336	0.00080225313381452
3	0.008329571390597265	0.00048485897605714853
4	0.00826829182849906	0.0001883669972194184
5	0.008510861341741838	-0.00014126986533374294
6	0.008402220647232752	-0.0004362348992828629
7	0.008629236693144776	-0.0007629332412281655
8	0.008441997403348068	-0.0010683086461067432
9	0.008821491014368804	-0.0013581295723866789
10	0.009347128137106484	-0.0015031214725873725
11	0.008877762414945756	-0.0020315462003723953
12	0.009003797711610969	-0.0022885208454928945
13	0.009182353440141741	-0.00253366675754296
14	0.009539203840772824	-0.002791801880778803
15	0.009615006384292064	-0.0030597705290972953
16	0.00981037964286952	-0.0033270876809299806
17	0.0100406657640684	-0.0036201728760606785
18	0.010111913559866662	-0.00383222819576913
19	0.010342495087026327	-0.004115914196807717
20	0.010744892964867176	-0.004249233451637701
21	0.01066200067828904	-0.0046355912269864345
22	0.010904515232283302	-0.004828644565858849
23	0.01129716471341817	-0.005072053153946763
24	0.011550176483879477	-0.005275666165026632
25	0.011734489193692571	-0.005618679064804019
26	0.012053245965194219	-0.005823343971251597
27	0.012478342012673237	-0.0059784001348736635
28	0.012458329976306413	-0.006300741594070132
29	0.012911695687242172	-0.006434970229411556
30	0.01333029280358387	-0.0065871218045344
31	0.013378031780828314	-0.006823893272173155
32	0.013832256230022176	-0.006920151877951139
33	0.014105472394220123	-0.007065327011538466
34	0.014338018714514329	-0.007346094851234375
35	0.014532766811639885	-0.007592828785968595
36	0.015080868527209532	-0.0077113332821681976
37	0.015251668131793121	-0.007919968245326163
38	0.015688965132443264	-0.008074230397606153
39	0.016116726703475432	-0.0081921716208024
40	0.01633648125867694	-0.008473523092766845
41	0.016826319300910837	-0.008452878797872836
42	0.017112959261559445	-0.008673865048574226
43	0.01751550827733372	-0.008656824343617336
44	0.017722718384060865	-0.008929244884588843
45	0.018189981914965757	-0.008858672885048146
46	0.018606305092399997	-0.00889631716636868
47	0.018892615297557494	-0.00918288061021958
48	0.01924234160559936	-0.009348163911384473
49	0.01959806534163581	-0.009376741533277527
50	0.020057167424135696	-0.009398430937117518
51	0.02041069966013747	-0.009546422435721616
52	0.020801652274474326	-0.009674957263233955
53	0.02124307121876336	-0.009652860674090335
54	0.02160734111794445	-0.009688143280649819
55	0.021956352955755574	-0.009790380723969429
56	0.02232844080803843	-0.009813352761515853
57	0.022753976529505598	-0.009891111581665609
58	0.023169138692814884	-0.00991440258103321
59	0.023551146689455345	-0.00991251595579306
60	0.02390039210407267	-0.009938155057078256
61	0.024203396180967684	-0.009843002638041798
62	0.02473173317678884	-0.010066085893056879
63	0.025084681470775104	-0.009874288042203989
64	0.0254107134727994	-0.009926441693177185
65	0.025839615448238328	-0.009926482411707547
66	0.026272385180791752	-0.009985850028976711
67	0.02662297022709172	-0.009860688053062767
68	0.026952237954872543	-0.009827258139634795
69	0.027411862150233356	-0.009807414642504592
