T	1/Q	1/Q_err	T_err
100	0.0007710587163699119	2.932498774698892e-06	1
100	0.0004317705466220695	1.5564948140769816e-06	1
100	0.00046423452205182956	1.6410075263933e-06	1
100	-5.487196052074891	38.257966319592825	1
110	0.0007666397403823226	2.8994176625551255e-06	1
110	0.0004271717988898503	1.4927445205977504e-06	1
110	0.0004665784958541567	1.6667141156967252e-06	1
110	-3.8984802731858226	20.809772386803715	1
120	0.0007661434064835258	2.929908246899751e-06	1
120	0.0004390004752158529	1.5231572510916677e-06	1
120	0.00047371527604111606	1.7122991694324143e-06	1
120	-4.322523798775281	25.73635803311739	1
130	0.00044411713458480804	1.6378806152554235e-06	1
130	0.0002681166315352899	9.491424059530105e-07	1
130	0.0002725961852618365	9.630139683349333e-07	1
130	-4.663150064019485	23.882875821239484	1
140	0.0007723890140251137	2.959240434952857e-06	1
140	0.0004440652124686936	1.613551349922385e-06	1
140	0.000469490561642228	1.5540790959063587e-06	1
140	-4.4416221042759725	24.41065808808362	1
150	0.0007690716420871735	2.9401352384658835e-06	1
150	0.00045389547357691933	1.634317290441424e-06	1
150	0.00047875701647271654	1.7549829644269139e-06	1
150	-4.086939934125902	20.770412138456873	1
160	0.00044833724820906234	1.670320317952948e-06	1
160	0.00027555935443583803	9.86064956121009e-07	1
160	0.00027853417795310043	1.0076688617160055e-06	1
160	-4.155632941227025	23.106356701626936	1
170	0.0007926681476105926	3.1139290240242232e-06	1
170	0.00046859640756210537	1.6227052928474438e-06	1
170	0.0004945510681980555	1.8714177403264761e-06	1
170	-4.681018333084568	21.96592297304598	1
180	0.0007950380504861521	3.1469501813595427e-06	1
180	0.0004888361282392176	1.6638480786682226e-06	1
180	0.0005058371016847659	1.706186980565908e-06	1
180	-5.287463353418537	32.3086720361855	1
190	0.0008206988124166432	3.296781279935227e-06	1
190	0.0005198293446824622	1.9543569777131136e-06	1
190	0.0005230468590875355	2.0194837645429607e-06	1
190	-4.403226192286681	18.16513329509784	1
200	0.0007908419598137908	3.1003690651248187e-06	1
200	0.0004836217565102615	1.8001782364490145e-06	1
200	0.0004910335830389551	1.6894070821501624e-06	1
200	-4.53027411030993	21.163972779381847	1
210	0.0008920009730220915	3.6942705578417243e-06	1
210	0.0005830948071005763	2.2653016245027154e-06	1
210	0.0005948897055073763	2.370108452655399e-06	1
210	-6.636541731362706	45.455963827657555	1
50	0.00044872418569802354	1.6009118036367212e-06	1
50	0.00025911955012319796	9.027293409810568e-07	1
50	0.000272524239222845	7.627729903151518e-07	1
50	-4.001788931090396	22.068785835063338	1
60	0.0007574399733086474	2.8192625291064388e-06	1
60	0.00042989947291762116	1.5356988708674334e-06	1
60	0.0004715842942529545	1.6753588211264121e-06	1
60	-5.062924032579903	35.82715234886022	1
70	0.00044923490154758525	1.6402927091232574e-06	1
70	0.0002606713032311386	8.774087167736148e-07	1
70	0.0002707864547206716	9.346512865821332e-07	1
70	-3.9723066382568364	20.571189674094207	1
80	0.0007623331206062916	2.868908020283868e-06	1
80	0.00043058074088966734	1.5460630438353574e-06	1
80	0.00047082059771721936	1.6712701163492804e-06	1
80	-4.065847656222157	21.998959067623407	1
90	0.0007653738251346247	2.8964033895217395e-06	1
90	0.00043286390115635605	1.5428826587044867e-06	1
90	0.00046251559008582204	1.6295130429742578e-06	1
90	-3.997881501874335	20.704605073033697	1
