T	1/Q	1/Q_err	T_err
100	0.0007747446203332379	2.872765698595331e-06	1
100	0.0004359663492936509	1.5124480329452238e-06	1
100	0.00046912727451768155	1.6135020640279446e-06	1
100	-5.45755892688498	35.86302956045001	1
110	0.0007700245373356724	2.8559008505552673e-06	1
110	0.0004314443290768625	1.4988883353120288e-06	1
110	0.00047191295911708946	1.6303140136832962e-06	1
110	-4.8060086056932505	28.947019124506774	1
120	0.0007696063566572529	2.864700729467912e-06	1
120	0.00044239096824834405	1.3046153443489023e-06	1
120	0.0004791266313622836	1.4570542546642863e-06	1
120	-4.765390013877224	27.605059140356357	1
130	0.00044829459775207864	1.6215517859826903e-06	1
130	0.00027403638948354423	9.379125513471812e-07	1
130	0.0002796592878786635	9.512082745516907e-07	1
130	-4.365189979043782	21.53776801768873	1
140	0.0007760664402484774	2.8948171652244986e-06	1
140	0.0004475042895372628	1.5736755990383411e-06	1
140	0.0004742670523810271	1.6500042205139387e-06	1
140	-4.084673788306558	20.507228270951988	1
150	0.0007720356461015453	2.869812240465549e-06	1
150	0.00045676888680584737	1.6005023497089572e-06	1
150	0.0004841845789506951	1.7117983945649167e-06	1
150	-4.4276016425454205	23.3364425397861	1
160	0.00045268528911287837	1.623025014281872e-06	1
160	0.0002797653753114557	9.710516368485252e-07	1
160	0.0002853350337684085	9.945206031906007e-07	1
160	-4.589529950735206	24.840718451708078	1
170	0.0007960507594101229	3.0644408642072248e-06	1
170	0.00047232189263350335	1.7339396305639503e-06	1
170	0.0004998714382603384	1.8239334459552722e-06	1
170	-4.8589068312907395	22.273259038279047	1
180	0.0007984273504705899	3.0949253705249247e-06	1
180	0.0004909561184949227	1.7780147105874514e-06	1
180	0.0005109407115260477	1.8825129196372965e-06	1
180	-5.385844588273826	31.654734448380317	1
190	0.0008231491173929141	3.2209157412519366e-06	1
190	0.0005211715488511601	1.9041089446713633e-06	1
190	0.0005271848063347859	1.9582154059549005e-06	1
190	-4.525167295665365	18.292047058141595	1
200	0.0007930765150737275	3.0220933945938355e-06	1
200	0.00048578211806221667	1.7596165171804612e-06	1
200	0.0004954401621431294	1.8002047044641453e-06	1
200	-4.494127263624151	20.272651427152045	1
210	-0.0008936417621033164	3.5824892855998437e-06	1
210	0.0005843698453655599	2.201555474037177e-06	1
210	0.0005993374396384454	2.2990633957691542e-06	1
210	-5.078444807191379	27.029705447002137	1
50	0.0004531279488476573	1.6567954955939645e-06	1
50	0.00026504654772876416	9.114319275332268e-07	1
50	0.00027905532115754316	9.494256289423323e-07	1
50	-4.261751658872606	23.70463936575869	1
60	0.0007609931595258648	2.7729530455122866e-06	1
60	0.0004336281618266544	1.5014907483633463e-06	1
60	0.0004768471502940081	1.6483693885396596e-06	1
60	-4.340814099977544	19.80960122225368	1
70	0.0004536433580028195	1.6239948946897905e-06	1
70	0.0002665961204750195	8.978688181888014e-07	1
70	0.0002776778645280657	9.262068459187847e-07	1
70	-3.8887764415377077	18.885208495335686	1
80	0.0007660145871433153	2.8185143763409403e-06	1
80	0.00043453203604052355	1.3702075591688626e-06	1
80	0.00047631764823593826	1.6449095345967347e-06	1
80	-4.091540916956369	20.96097018866714	1
90	0.000768840340929446	2.82550846295761e-06	1
90	0.0004370294985113622	1.4336972910794425e-06	1
90	0.00046746718341939323	1.5997006118160624e-06	1
90	-4.016406320908884	20.180973936713997	1
