T	1/Q	1/Q_err	T_err
100	0.0007747446203332379	2.872765698595331e-06	1
100	0.0007404624941431718	2.7411720954608454e-06	1
100	0.000726249875022973	2.6838309734051736e-06	1
100	0.0007623822381169198	2.9540069155502726e-06	1
110	0.0007726159276298697	2.857469716983817e-06	1
110	0.0007391615712639467	2.7315365794217316e-06	1
110	0.0007266843253845493	2.6852485419274443e-06	1
110	0.0007830616642088362	3.060575422297562e-06	1
120	0.0007726159276298697	2.857469716983817e-06	1
120	0.0007404624941431718	2.7411720954608454e-06	1
120	0.0007279224629111674	2.6921746962536723e-06	1
120	0.0007623822381169198	2.9540069155502726e-06	1
130	0.0007913475815255834	2.964261407048622e-06	1
130	0.0007474198332072267	2.778098168797699e-06	1
130	0.0007405246714250509	2.7646493320667318e-06	1
130	0.0007355972627327137	2.8139839149020227e-06	1
140	0.000783614255312196	2.920948153002388e-06	1
140	0.0007392557239190873	2.7312579650244304e-06	1
140	0.0007279224629111674	2.6921746962536723e-06	1
140	0.0007242784926757364	2.7534542880271772e-06	1
150	0.0007761204027857264	2.8777543400923763e-06	1
150	0.0007417812942261427	2.745346367621119e-06	1
150	0.0007382827241670211	2.751973134792179e-06	1
150	0.0007278904199102676	2.7753609897649415e-06	1
160	-0.0008120705010366156	3.0794112031708734e-06	1
160	0.0007616705955141501	2.858136479435923e-06	1
160	0.0007613906655025745	2.878728956359638e-06	1
160	0.0007355972627327137	2.8139839149020227e-06	1
170	0.0008204834020149095	3.1207962282698233e-06	1
170	-3.7076262272289298	7.840257393126653	1
170	-3.7668731520207284	9.969673741828156	1
170	0.0006919779940661246	2.566875768866471e-06	1
180	0.0008611595061972078	3.328763746869357e-06	1
180	-3.7076262272289298	7.840257393126653	1
180	0.0008008107988300413	3.083177800642106e-06	1
180	0.0006994694382511829	2.6137057320807846e-06	1
190	0.0009118204905649404	3.5835699037390173e-06	1
190	0.0008313209240911797	3.219834812808026e-06	1
190	0.0008590840777210056	3.372149743079388e-06	1
190	0.0006925341482334663	2.565276819719509e-06	1
200	0.0008296215037139509	3.168387516487298e-06	1
200	-4.330744384817754	12.549035054995802	1
200	-4.3775844956718615	14.591774100470625	1
200	0.0006944317692497118	2.582684824630014e-06	1
210	-37.44850093514916	6094.806598077808	1
210	0.0010261851107880831	4.185899215013877e-06	1
210	-0.001102817760750407	4.5875995677197516e-06	1
210	0.0007803330830314423	3.028150190236021e-06	1
50	0.0007859982435836197	2.9343916766860904e-06	1
50	0.0007428988021634896	2.751845808106736e-06	1
50	0.000734365644305124	2.729602924585586e-06	1
50	0.0008117745504941625	3.207655275633129e-06	1
60	0.0007712974355270537	2.850105740130879e-06	1
60	0.0007449329944285779	2.770490915821558e-06	1
60	0.0007263480045665114	2.683564608629519e-06	1
60	0.0008057873268742285	3.177058633564772e-06	1
70	0.0007885680023766129	2.9488299418903173e-06	1
70	0.0007428988021634896	2.751845808106736e-06	1
70	0.000734365644305124	2.729602924585586e-06	1
70	0.0008304115004412762	3.3028388805576843e-06	1
80	0.0007718549184894944	2.8531600463227905e-06	1
80	0.000742303234763538	2.7535831259704095e-06	1
80	0.0007266843253845493	2.6852485419274443e-06	1
80	0.0008304115004412762	3.3028388805576843e-06	1
90	0.0007712974355270537	2.850105740130879e-06	1
90	0.0007412899070324079	2.7468192614775267e-06	1
90	0.000726249875022973	2.6838309734051736e-06	1
90	0.0008304115004412762	3.3028388805576843e-06	1
