	Q	sQ	Qc	sQc	Qi	sQi	T
0	2019.1768167260632	19.39309436341133	2262.022447744717	34.887257154967635	5.31690661986416e-05	2.52737776190886e-06	50
1	2101.6077046701294	19.850364439945274	2840.831238310852	37.11205734758543	0.00012381654967884368	2.615771892301296e-06	70
2	2016.2080838206737	23.627526184651494	2284.9397124778097	45.810524651723384	5.833224439661281e-05	3.173816135700011e-06	90
3	2129.929015523533	5.605104618397894	2886.651951300692	9.497176943794251	0.00012307712534505085	0.0001956408998172352	110
4	2108.0118122233575	6.668541617172327	2896.850260848778	10.532433700465251	0.00012917812699482492	0.00025928041682123684	130
5	2081.7921098032725	25.134732565873474	2916.039322960255	44.04946360785837	0.00013742445717759955	3.280871978612345e-06	150
6	1218.4257596520708	12.455404803300098	1448.8314075362373	20.284784254420305	0.00013051973895347648	1.7232075544342282e-06	170
7	1167.7828811135328	8.076360500648434	1448.6236405412137	12.4109588460578	0.00016601314075224692	2.7229677352069704e-06	190
8	1076.4479515066223	8.113961765314002	1466.6051933906424	12.898499766109795	0.0002471345233921332	2.863922070889942e-06	210
9	963.7834731644474	8.08088365396884	1491.971810621486	14.750673801749638	0.00036732350119007893	3.3740904497268106e-06	230
10	311.17737701923113	8.133386934929547	315.60390509371297	17.923830473510748	4.507262366951371e-05	4.587380220221018e-06	250
11	252.55464035151607	12.357653780665146	265.22764546357445	20.085334984651656	0.00018919317594081266	1.731089173929522e-06	270
