X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(4),Phase: PR1: V(4)
1000000,1.0018151946023832,-1.1492634259806318
1258925.4117941672,1.0028826126271801,-1.4501431613514453
1584893.1924611137,1.0045830765490584,-1.8322566035824288
1995262.31496888,1.0073002389366659,-2.320032640134666
2511886.431509581,1.0116630100255213,-2.9477893141788334
3162277.6601683805,1.0187224605084102,-3.7662627727801823
3981071.705534974,1.0302888204107563,-4.8557833696219985
5011872.336272725,1.0496278088857023,-6.355364657497481
6309573.444801935,1.0830624305068715,-8.534667557583594
7943282.347242818,1.14419842364672,-12.00237989331698
10000000.000000004,1.2669569043580051,-18.46793284852548
12589254.117941678,1.542613275193296,-34.69798833307735
15848931.924611142,1.5639061336556144,-91.64713346068139
19952623.149688806,0.27832037602221416,-146.36863199635883
25118864.315095816,0.16558718344124376,18.108476691845823
31622776.601683814,0.32719347718970954,11.82707190398213
39810717.05534975,0.40244262142652204,8.430351221469092
50118723.36272726,0.4423255398445584,6.2859035550481055
63095734.44801937,0.4650107406575874,4.806327391152579
79432823.47242822,0.4784486728562398,3.7295761221413954
100000000.00000009,0.48660362910250754,2.9198729900300084
125892541.17941684,0.491625897268927,2.2984489289604686
158489319.2461115,0.49474707885346997,1.8154012900987484
199526231.4968882,0.4966977747353689,1.4368973198151436
251188643.15095833,0.4979212439509459,1.1388127838112072
316227766.0168384,0.49869030057507013,0.903314958066103
398107170.55349785,0.4991743930010162,0.7168903848121029
501187233.6272731,0.49947937832773126,0.5691268676162927
630957344.4801943,0.4996716297057729,0.4519135982860481
794328234.7242829,0.49979286000682704,0.3588876136162625
1000000000.0000018,0.49986932246509025,0.28503442372122184
