	Q	sQ	Qc	sQc	Qi	sQi	T
0	3560.2682684978563	19.25929224513857	4526.616302745275	32.686962502403794	5.9962145065210955e-05	1.8675162120512652e-06	50
1	1263.7670605092483	21.15676543325166	1416.6481234185499	35.90807990369613	8.539347190503506e-05	1.9588531720623763e-06	60
2	3552.726402662127	21.02325599533965	4549.972255131125	36.87763917526839	6.169240866772437e-05	2.1271496372033013e-06	70
3	2231.2429095754883	24.810959708027724	2871.9709889806977	43.73101755352214	9.998776367547563e-05	1.0016819685562579e-06	80
4	1266.3689039452163	25.699569993257317	1116.147447249652	104.54584274837721	-0.00010627966111405264	4.883613253341177e-06	90
5	2248.0829714353035	31.56290129015733	2906.6517040454983	57.84849811112132	0.00010078497141090376	1.2825624729359105e-06	100
6	2289.389077982454	39.780341716533144	2956.177866654247	73.20243707998316	9.85231120376428e-05	1.5965707229075913e-06	110
7	2218.9983023851146	15.805628387876826	2905.100294011619	26.25029673120128	0.00010643159723076578	1.4815583099601874e-06	120
8	3494.196882429292	8.144087997006864	4502.74668356045	12.088034089507298	6.410213008445999e-05	2.7561693709271945e-06	130
9	1247.8698529225628	8.16469078227442	1434.0270591127532	12.28719798784075	0.00010402871009424312	2.7661418187547978e-06	140
10	1249.1679835137227	8.044346585104336	1452.224369545302	12.393807539468854	0.00011193401643635254	2.8695784898293137e-06	150
11	1196.7468864399511	8.08088819917225	1428.6754682534142	12.623981993664424	0.00013564955662694696	2.891680960881972e-06	170
12	1188.9223052111286	8.076082435824446	1447.204166064355	13.21953927242001	0.00015011034662321238	2.9988321425432762e-06	180
13	1127.4371759431124	8.014871291370468	1426.61520314499	12.782389920355937	0.0001860075168625697	2.8843085620960976e-06	190
14	1197.7914151838447	8.118631279298029	1463.0624620392675	11.809980994116678	0.0001513720830964738	2.722477501948399e-06	200
15	1787.5985512700095	8.201697413584043	3602.572075316876	7.747962361964481	0.0002818302603119043	2.645798864528833e-06	210
