T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
100	7363.886734349579	181.7915298379651	12441.639089876911	217.39778233305864	18043.18419502658	0.03024504638023675
110	4529.067263512068	97.48741101423195	7788.396428294703	126.9636005940698	10822.524978386557	0.02700114270369068
120	7505.629001022692	188.29931444395973	12606.123456560268	220.16004683049783	18550.53203779218	0.030568036926879736
130	4670.5766590703115	99.1164126222148	7806.736947910098	125.01141589544677	11626.307335808944	0.026585238555552605
140	4597.159346689284	93.95725047638344	7931.175921912407	124.39846324269365	10936.02227133995	0.025762910360268485
150	4638.935542142372	93.08538806508322	7832.940799537253	122.55644550821249	11376.470777667882	0.02544513835547726
160	4622.117520511457	100.88634971099508	7981.730322247637	116.32234924712148	10981.174838776973	0.026245023822264443
170	4530.578388066137	94.16136775612782	7824.118415935655	117.71182906933554	10762.821007473329	0.025657336635596415
180	7294.282271122516	192.70554435097094	12777.836703838122	240.25442785817467	16997.213919502803	0.03242653035543886
190	4387.532936480541	97.5921691923664	7942.115806703593	134.34009346824146	9803.202220762438	0.027944009464518516
200	4275.483619986214	96.45498563270463	8031.214234328543	138.50194226148344	9142.648510610674	0.028396480509610498
210	6606.801454039791	181.88939399126286	12851.934288144721	241.4061724565518	13596.21650934955	0.03332807838084258
50	3760.424331917701	91.78059644184758	8219.289797766654	162.5554686691953	6931.812045762152	0.03141405298999018
60	3540.830758202492	94.21946493682837	8171.702024815394	168.0614463645503	6248.2008698754435	0.03363083344659892
70	3192.9230341463026	84.2016986802723	8232.69993458321	177.05848786848108	5215.781923217013	0.034029220367737686
80	3740.962782810507	93.85093553608	8146.776066866306	158.1167940489926	6917.40300850485	0.03171855419539914
90	2499.4864982309127	77.08891190060858	7893.366126307992	199.74527174337595	3657.7312470233214	0.039894725888971076
